id,name,city,state,verified_count,verified_images_pipe
cmpxzvwp0000b04kym6syqg83,Katiki Waterfalls,Araku,Andhra Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Katiki_Waterfall.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e8/Katiki_waterfalls.jp.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3e/Katiki_waterfalls.jpg
cmpxzvxje000d04kyw3cbzpjn,Bheemunipatnam Beach,Bheemunipatnam,Andhra Pradesh,4,https://upload.wikimedia.org/wikipedia/commons/8/81/A_Shelter_at_Bheemunipatnam_Beach_Park.jpg|https://upload.wikimedia.org/wikipedia/commons/2/29/A_Statue_at_Bheemunipatnam_Beach_Park.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4f/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_02.jpg
cmpxzvz3j000j04kygbqu8fws,Ethipothala Falls,Macherla,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/6/64/Ethipothala_waterfall_guntur.jpg|https://upload.wikimedia.org/wikipedia/commons/9/9c/Ethipothala_Waterfalls_Landscape.JPG|https://upload.wikimedia.org/wikipedia/commons/e/e7/Ethipothala_Waterfalls.JPG|https://upload.wikimedia.org/wikipedia/commons/4/40/Ethipothala_waterfall_2007.jpg|https://upload.wikimedia.org/wikipedia/commons/b/b2/Ethipothala_waterfall.jpg
cmpxzvydm000g04kyfi1qhm27,Srisailam Mallikarjuna Temple,Srisailam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/d/d5/2025_Ghanta_Matham_temple_in_Srisailam.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6c/A_Nataraja_relief_carved_on_Northern_wall_of_Srisailam_Temple.jpg|https://upload.wikimedia.org/wikipedia/commons/2/2d/APSS303_Srisailam_town_zoom_view_from_welcome_center2.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4a/Entrance_of_Srisailam_temple.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3c/Eshana_Lingam_and_Kumara_Lingam_temples_at_Ghanta_Matham_in_Srisailam.jpg
cmpuvlxr0000g04l1fbkteicr,Bheemunipatnam Beach,Visakhapatnam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/3/3c/A_Creative_Snap_at_Bheemunipatnam_Beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/1/1b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_01.jpg|https://upload.wikimedia.org/wikipedia/commons/4/4f/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_02.jpg|https://upload.wikimedia.org/wikipedia/commons/0/0b/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_03.jpg|https://upload.wikimedia.org/wikipedia/commons/7/72/A_Tomb_at_Dutch_Cemetery%2C_Bheemunipatnam_beach_04.jpg
cmppccfn5000204l21a89rto9,INS Kursura Submarine Museum,Visakhapatnam,Andhra Pradesh,1,https://upload.wikimedia.org/wikipedia/commons/d/d8/INS_Kursura_Submarine_Museum.jpg
cmpuvluxl000404l1ztkcusdc,INS Kurusura Submarine Museum,Visakhapatnam,Andhra Pradesh,5,https://upload.wikimedia.org/wikipedia/commons/b/bc/INS_Kursura_%28S20%29.jpg|https://upload.wikimedia.org/wikipedia/commons/7/7a/INS_Kursura_at_RK_Beach_Vizag.JPG|https://upload.wikimedia.org/wikipedia/commons/d/d8/INS_Kursura_Submarine_Museum.jpg|https://upload.wikimedia.org/wikipedia/commons/6/6d/Interior_of_INS_Kursura_%28S20%29%2C_the_submarine_museum_in_Vizag_01.jpg|https://upload.wikimedia.org/wikipedia/commons/9/91/Interior_of_INS_Kursura_%28S20%29%2C_the_submarine_museum_in_Vizag_02.jpg
cmpuvlygc000j04l13v5ekb05,Katiki Waterfalls,Visakhapatnam,Andhra Pradesh,3,https://upload.wikimedia.org/wikipedia/commons/2/2d/Katiki_Waterfall.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e8/Katiki_waterfalls.jp.jpg|https://upload.wikimedia.org/wikipedia/commons/3/3e/Katiki_waterfalls.jpg
cmptyplcd000704jskqx9cwhr,Anjuna Beach,Anjuna,Goa,3,https://upload.wikimedia.org/wikipedia/commons/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg|https://upload.wikimedia.org/wikipedia/commons/0/00/Anjuna_beach_water_receding.jpg|https://upload.wikimedia.org/wikipedia/commons/b/b2/Anjuna_Hill_-_panoramio.jpg
cmpy1xdbo002c04l5gb0lcug6,Arambol Beach,Arambol,Goa,5,https://upload.wikimedia.org/wikipedia/commons/8/82/Arambol-give-tylicki.jpg|https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg|https://upload.wikimedia.org/wikipedia/commons/e/e6/Arambol_Lake_swimmer.jpg|https://upload.wikimedia.org/wikipedia/commons/d/df/Arambol_Mountain.jpg|https://upload.wikimedia.org/wikipedia/commons/0/00/Arambol_Shacks.jpg
